,HAPPY,LIFE,AGE,CONINC,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,SOCREL,HAPPARTNER,FAIR_C,TRUST_C,HELPFUl_C,CONINC_CAT,PARTYID_CAT
0,3.0,2.0,72.0,67200.0,0.0,,,,,,1.0,2.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
2,3.0,2.0,57.0,30240.0,5.0,,,,,,3.0,2.0,1.0,"$30,000-39,999",NOT VERY STRONG REPUBLICAN
4,2.0,2.0,62.0,18480.0,3.0,,,,,2.0,1.0,2.0,2.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
5,2.0,1.0,27.0,36960.0,1.0,,,,,1.0,2.0,1.0,1.0,"$30,000-39,999",NOT VERY STRONG DEMOCRAT
7,2.0,2.0,47.0,168736.0,0.0,,,,,1.0,3.0,3.0,3.0,"$100,000-999,999",STRONG DEMOCRAT
10,2.0,,57.0,36960.0,3.0,4.0,2.0,5.0,2.0,,2.0,2.0,3.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
13,3.0,2.0,36.0,1344.0,5.0,,,,,,2.0,2.0,1.0,"$1,000-1,999 ",NOT VERY STRONG REPUBLICAN
17,1.0,,80.0,94080.0,2.0,2.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,"$75,000-99,999","INDEPENDENT, CLOSE TO DEMOCRAT"
18,3.0,2.0,35.0,7560.0,3.0,,,,,,1.0,2.0,3.0,"$7,000-7,999","INDEPENDENT (NEITHER, NO RESPONSE)"
30,2.0,2.0,65.0,80640.0,3.0,,,,,1.0,1.0,1.0,2.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
31,3.0,2.0,,,7.0,,,,,,1.0,2.0,2.0,,OTHER PARTY 
37,2.0,,79.0,30240.0,4.0,4.0,4.0,6.0,2.0,1.0,2.0,2.0,3.0,"$30,000-39,999","INDEPENDENT, CLOSE TO REPUBLICAN"
41,2.0,2.0,65.0,3696.0,2.0,,,,,,3.0,2.0,3.0,"$3,000-3,999","INDEPENDENT, CLOSE TO DEMOCRAT"
44,2.0,2.0,30.0,336.0,3.0,,,,,,1.0,2.0,1.0,$1-999,"INDEPENDENT (NEITHER, NO RESPONSE)"
47,2.0,,52.0,168736.0,6.0,2.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,"$100,000-999,999",STRONG REPUBLICAN
49,1.0,1.0,70.0,107520.0,4.0,,,,,1.0,2.0,1.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
50,1.0,2.0,59.0,168736.0,0.0,,,,,2.0,2.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
52,2.0,1.0,43.0,168736.0,4.0,,,,,2.0,1.0,2.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
53,1.0,,60.0,67200.0,0.0,5.0,5.0,7.0,3.0,1.0,2.0,1.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
65,3.0,,34.0,,3.0,1.0,2.0,7.0,1.0,,1.0,3.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
66,3.0,1.0,47.0,21840.0,3.0,,,,,,1.0,2.0,2.0,"$20,000-24,999","INDEPENDENT (NEITHER, NO RESPONSE)"
76,3.0,2.0,86.0,,0.0,,,,,,3.0,2.0,3.0,,STRONG DEMOCRAT
82,2.0,,44.0,94080.0,0.0,7.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,"$75,000-99,999",STRONG DEMOCRAT
88,2.0,,26.0,80640.0,0.0,3.0,2.0,2.0,5.0,,1.0,2.0,2.0,"$75,000-99,999",STRONG DEMOCRAT
94,3.0,,46.0,30240.0,0.0,5.0,2.0,3.0,5.0,,1.0,2.0,2.0,"$30,000-39,999",STRONG DEMOCRAT
96,2.0,,46.0,45360.0,5.0,3.0,4.0,6.0,2.0,2.0,1.0,2.0,3.0,"$40,000-49,999",NOT VERY STRONG REPUBLICAN
97,1.0,1.0,71.0,,0.0,,,,,1.0,2.0,1.0,1.0,,STRONG DEMOCRAT
101,2.0,2.0,34.0,45360.0,3.0,,,,,,3.0,2.0,1.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
102,2.0,2.0,26.0,12600.0,2.0,,,,,2.0,1.0,2.0,2.0,"$12,000-14,999","INDEPENDENT, CLOSE TO DEMOCRAT"
107,2.0,2.0,71.0,94080.0,3.0,,,,,1.0,1.0,2.0,2.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
110,1.0,,61.0,,6.0,4.0,5.0,6.0,3.0,1.0,2.0,2.0,3.0,,STRONG REPUBLICAN
115,1.0,,44.0,55440.0,3.0,7.0,7.0,7.0,1.0,1.0,2.0,3.0,1.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
125,2.0,,,4368.0,2.0,6.0,6.0,7.0,5.0,2.0,2.0,3.0,1.0,"$4,000-4,999","INDEPENDENT, CLOSE TO DEMOCRAT"
129,1.0,2.0,31.0,45360.0,0.0,,,,,1.0,2.0,2.0,1.0,"$40,000-49,999",STRONG DEMOCRAT
136,3.0,,56.0,18480.0,1.0,2.0,6.0,7.0,2.0,,2.0,2.0,3.0,"$15,000-19,999",NOT VERY STRONG DEMOCRAT
139,3.0,,34.0,80640.0,0.0,5.0,4.0,5.0,5.0,,1.0,1.0,2.0,"$75,000-99,999",STRONG DEMOCRAT
144,2.0,1.0,69.0,67200.0,2.0,,,,,2.0,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
152,2.0,2.0,70.0,55440.0,1.0,,,,,1.0,1.0,1.0,2.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
153,3.0,2.0,,,1.0,,,,,,1.0,2.0,,,NOT VERY STRONG DEMOCRAT
160,1.0,2.0,74.0,80640.0,3.0,,,,,3.0,3.0,3.0,3.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
169,2.0,1.0,39.0,45360.0,7.0,,,,,,1.0,2.0,2.0,"$40,000-49,999",OTHER PARTY 
170,3.0,,51.0,168736.0,3.0,5.0,4.0,5.0,6.0,,2.0,2.0,1.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
172,2.0,,29.0,168736.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
173,3.0,,87.0,67200.0,4.0,7.0,6.0,5.0,7.0,,3.0,2.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
178,2.0,,68.0,94080.0,4.0,5.0,5.0,5.0,2.0,,2.0,2.0,1.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
180,3.0,,50.0,7560.0,5.0,5.0,2.0,6.0,1.0,,2.0,2.0,3.0,"$7,000-7,999",NOT VERY STRONG REPUBLICAN
184,2.0,,54.0,80640.0,3.0,5.0,6.0,5.0,3.0,,1.0,2.0,1.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
185,2.0,,37.0,55440.0,2.0,7.0,5.0,5.0,4.0,,2.0,2.0,2.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
186,2.0,,65.0,,0.0,1.0,5.0,6.0,6.0,,2.0,2.0,1.0,,STRONG DEMOCRAT
187,1.0,2.0,42.0,94080.0,6.0,,,,,1.0,3.0,3.0,3.0,"$75,000-99,999",STRONG REPUBLICAN
188,2.0,2.0,47.0,14280.0,2.0,,,,,,2.0,2.0,2.0,"$12,000-14,999","INDEPENDENT, CLOSE TO DEMOCRAT"
191,1.0,,,,1.0,5.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,,NOT VERY STRONG DEMOCRAT
197,1.0,,74.0,107520.0,4.0,4.0,3.0,6.0,3.0,2.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
205,3.0,2.0,74.0,107520.0,1.0,,,,,,3.0,3.0,3.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
206,2.0,,43.0,107520.0,2.0,7.0,3.0,7.0,2.0,2.0,1.0,2.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
209,2.0,1.0,60.0,107520.0,3.0,,,,,1.0,3.0,3.0,1.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
223,2.0,2.0,50.0,36960.0,3.0,,,,,,3.0,1.0,1.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
224,2.0,,39.0,36960.0,3.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,1.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
225,3.0,2.0,33.0,30240.0,3.0,,,,,,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
228,2.0,1.0,31.0,55440.0,0.0,,,,,,3.0,3.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
229,3.0,2.0,33.0,36960.0,5.0,,,,,,1.0,3.0,1.0,"$30,000-39,999",NOT VERY STRONG REPUBLICAN
235,1.0,,71.0,,0.0,,,,,1.0,2.0,1.0,1.0,,STRONG DEMOCRAT
236,2.0,,56.0,,3.0,5.0,5.0,6.0,5.0,1.0,3.0,3.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
239,1.0,,36.0,30240.0,3.0,6.0,6.0,6.0,4.0,2.0,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
241,3.0,2.0,25.0,1344.0,0.0,,,,,,1.0,2.0,2.0,"$1,000-1,999 ",STRONG DEMOCRAT
242,3.0,,28.0,30240.0,3.0,1.0,3.0,6.0,7.0,,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
244,3.0,1.0,59.0,18480.0,2.0,,,,,,2.0,2.0,2.0,"$15,000-19,999","INDEPENDENT, CLOSE TO DEMOCRAT"
253,2.0,2.0,23.0,18480.0,1.0,,,,,,1.0,2.0,2.0,"$15,000-19,999",NOT VERY STRONG DEMOCRAT
254,3.0,2.0,64.0,21840.0,0.0,,,,,3.0,1.0,2.0,1.0,"$20,000-24,999",STRONG DEMOCRAT
259,2.0,1.0,36.0,30240.0,6.0,,,,,,1.0,2.0,2.0,"$30,000-39,999",STRONG REPUBLICAN
266,1.0,,37.0,107520.0,0.0,7.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
270,2.0,,69.0,36960.0,1.0,2.0,3.0,5.0,5.0,,3.0,2.0,2.0,"$30,000-39,999",NOT VERY STRONG DEMOCRAT
273,2.0,,33.0,25200.0,7.0,2.0,2.0,3.0,6.0,,2.0,1.0,2.0,"$25,000-29,999",OTHER PARTY 
276,3.0,1.0,57.0,168736.0,6.0,,,,,1.0,2.0,1.0,3.0,"$100,000-999,999",STRONG REPUBLICAN
277,3.0,,42.0,9240.0,0.0,7.0,7.0,5.0,6.0,,1.0,2.0,2.0,"$9,000-9,999",STRONG DEMOCRAT
279,2.0,2.0,37.0,67200.0,3.0,,,,,,1.0,3.0,2.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
282,3.0,2.0,35.0,9240.0,3.0,,,,,,1.0,3.0,2.0,"$9,000-9,999","INDEPENDENT (NEITHER, NO RESPONSE)"
285,2.0,2.0,53.0,67200.0,0.0,,,,,2.0,1.0,1.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
286,2.0,2.0,63.0,55440.0,5.0,,,,,,1.0,2.0,1.0,"$50,000-74,999",NOT VERY STRONG REPUBLICAN
287,2.0,,71.0,67200.0,0.0,6.0,3.0,,5.0,,2.0,1.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
294,2.0,,39.0,67200.0,4.0,7.0,5.0,6.0,4.0,1.0,2.0,2.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
295,2.0,,61.0,94080.0,1.0,5.0,6.0,5.0,5.0,2.0,1.0,2.0,1.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
300,2.0,1.0,60.0,168736.0,6.0,,,,,,2.0,1.0,2.0,"$100,000-999,999",STRONG REPUBLICAN
304,2.0,2.0,60.0,80640.0,5.0,,,,,2.0,2.0,1.0,1.0,"$75,000-99,999",NOT VERY STRONG REPUBLICAN
305,3.0,,26.0,12600.0,1.0,7.0,4.0,5.0,4.0,3.0,1.0,2.0,2.0,"$12,000-14,999",NOT VERY STRONG DEMOCRAT
309,1.0,1.0,39.0,36960.0,3.0,,,,,2.0,2.0,3.0,2.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
312,2.0,1.0,75.0,168736.0,0.0,,,,,3.0,2.0,2.0,2.0,"$100,000-999,999",STRONG DEMOCRAT
313,1.0,1.0,36.0,168736.0,3.0,,,,,,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
315,3.0,2.0,89.0,45360.0,1.0,,,,,2.0,2.0,2.0,2.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
322,3.0,1.0,22.0,21840.0,3.0,,,,,,1.0,2.0,3.0,"$20,000-24,999","INDEPENDENT (NEITHER, NO RESPONSE)"
324,2.0,2.0,30.0,45360.0,3.0,,,,,2.0,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
326,1.0,,,,3.0,7.0,7.0,7.0,3.0,,1.0,2.0,1.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
327,2.0,,47.0,45360.0,0.0,5.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,"$40,000-49,999",STRONG DEMOCRAT
329,3.0,,33.0,45360.0,1.0,2.0,5.0,5.0,5.0,,1.0,2.0,2.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
335,1.0,,39.0,36960.0,0.0,7.0,5.0,7.0,5.0,1.0,1.0,2.0,2.0,"$30,000-39,999",STRONG DEMOCRAT
336,2.0,2.0,39.0,67200.0,2.0,,,,,1.0,3.0,3.0,3.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
337,1.0,2.0,31.0,45360.0,3.0,,,,,1.0,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
339,2.0,,30.0,15960.0,3.0,6.0,7.0,7.0,3.0,2.0,1.0,2.0,2.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
340,2.0,2.0,24.0,45360.0,1.0,,,,,,2.0,2.0,2.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
342,3.0,,21.0,18480.0,1.0,7.0,6.0,6.0,2.0,,2.0,2.0,2.0,"$15,000-19,999",NOT VERY STRONG DEMOCRAT
343,2.0,,66.0,36960.0,6.0,6.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,"$30,000-39,999",STRONG REPUBLICAN
344,1.0,,33.0,80640.0,0.0,2.0,3.0,7.0,1.0,1.0,2.0,2.0,2.0,"$75,000-99,999",STRONG DEMOCRAT
348,2.0,,24.0,,1.0,7.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,,NOT VERY STRONG DEMOCRAT
349,1.0,,57.0,14280.0,3.0,7.0,7.0,7.0,5.0,,3.0,3.0,3.0,"$12,000-14,999","INDEPENDENT (NEITHER, NO RESPONSE)"
351,2.0,1.0,56.0,107520.0,0.0,,,,,,3.0,3.0,2.0,"$100,000-999,999",STRONG DEMOCRAT
353,2.0,,63.0,15960.0,3.0,7.0,7.0,7.0,3.0,,1.0,2.0,2.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
354,2.0,1.0,66.0,55440.0,3.0,,,,,1.0,3.0,1.0,3.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
355,2.0,,42.0,45360.0,0.0,7.0,3.0,5.0,2.0,,2.0,3.0,1.0,"$40,000-49,999",STRONG DEMOCRAT
359,1.0,,79.0,168736.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
361,2.0,,62.0,67200.0,0.0,5.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,"$50,000-74,999",STRONG DEMOCRAT
362,1.0,,49.0,,3.0,3.0,4.0,5.0,3.0,1.0,2.0,3.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
372,2.0,2.0,31.0,25200.0,2.0,,,,,,1.0,2.0,2.0,"$25,000-29,999","INDEPENDENT, CLOSE TO DEMOCRAT"
373,2.0,,45.0,21840.0,0.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,"$20,000-24,999",STRONG DEMOCRAT
374,3.0,,40.0,336.0,3.0,7.0,7.0,7.0,7.0,,1.0,2.0,2.0,$1-999,"INDEPENDENT (NEITHER, NO RESPONSE)"
375,3.0,,18.0,,3.0,2.0,2.0,7.0,1.0,,3.0,2.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
376,2.0,1.0,70.0,168736.0,4.0,,,,,,2.0,2.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
382,1.0,,59.0,107520.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
384,3.0,2.0,75.0,15960.0,4.0,,,,,,1.0,2.0,3.0,"$15,000-19,999","INDEPENDENT, CLOSE TO REPUBLICAN"
385,1.0,1.0,39.0,168736.0,0.0,,,,,1.0,3.0,1.0,3.0,"$100,000-999,999",STRONG DEMOCRAT
387,2.0,1.0,63.0,168736.0,3.0,,,,,1.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
392,1.0,,89.0,,5.0,5.0,4.0,6.0,2.0,,1.0,1.0,1.0,,NOT VERY STRONG REPUBLICAN
393,3.0,,39.0,168736.0,3.0,6.0,5.0,6.0,5.0,1.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
395,3.0,,22.0,336.0,3.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,$1-999,"INDEPENDENT (NEITHER, NO RESPONSE)"
397,2.0,,22.0,14280.0,1.0,6.0,6.0,6.0,5.0,,2.0,2.0,3.0,"$12,000-14,999",NOT VERY STRONG DEMOCRAT
399,2.0,1.0,51.0,,0.0,,,,,,1.0,1.0,1.0,,STRONG DEMOCRAT
400,3.0,,30.0,80640.0,3.0,7.0,3.0,7.0,3.0,,1.0,2.0,2.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
402,2.0,,57.0,,5.0,7.0,4.0,4.0,4.0,,3.0,1.0,1.0,,NOT VERY STRONG REPUBLICAN
403,1.0,2.0,48.0,94080.0,6.0,,,,,1.0,3.0,3.0,1.0,"$75,000-99,999",STRONG REPUBLICAN
406,2.0,,57.0,67200.0,6.0,2.0,4.0,7.0,5.0,,2.0,1.0,2.0,"$50,000-74,999",STRONG REPUBLICAN
409,3.0,,60.0,,0.0,7.0,7.0,7.0,7.0,,1.0,2.0,2.0,,STRONG DEMOCRAT
413,2.0,,31.0,168736.0,0.0,5.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
